source_name,database_name,environment,workspace_id,connection_id,connection_name
MTM,MTMDWH,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,44e54521-c90d-45cd-822f-4402ed45139e,dbb_integration_MTM_PRD
MTM,MTMDWH,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,44e54521-c90d-45cd-822f-4402ed45139e,dbb_integration_MTM_PRD
STG,STG,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,23ca159e-f3dc-48b9-a5ac-0371e5202592,dbb_integration_STG_PRD
STG,STG,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,23ca159e-f3dc-48b9-a5ac-0371e5202592,dbb_integration_STG_PRD
STG,STG,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,23ca159e-f3dc-48b9-a5ac-0371e5202592,dbb_integration_STG_PRD
STG,STG,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,23ca159e-f3dc-48b9-a5ac-0371e5202592,dbb_integration_STG_PRD
OSS_GenericData,OSS_GenericData_MHQ_Warehouse,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,cadcd927-bc76-4cb5-9e9b-4d78a73ccb12,OSS_GenericData_MHQ_Warehouse_PRD
OSS_GenericData,OSS_GenericData_MHQ_Warehouse,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,cadcd927-bc76-4cb5-9e9b-4d78a73ccb12,OSS_GenericData_MHQ_Warehouse_PRD
OSS_GenericData,OSS_GenericData_MHQ_Warehouse,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,cadcd927-bc76-4cb5-9e9b-4d78a73ccb12,OSS_GenericData_MHQ_Warehouse_PRD
OSS_GenericData,OSS_GenericData_MHQ_Warehouse,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,cadcd927-bc76-4cb5-9e9b-4d78a73ccb12,OSS_GenericData_MHQ_Warehouse_PRD
